Name,URL,Frequency,Region,Station_Type,Image,Color,Description
Silk 106.9,https://www.silk1069.com/,106.9 FM,north-west,local_radio,/content/images/stations/silk.png,"rgb(250,250,251)",Local radio for Cheshire.
Spire FM,https://www.spirefm.co.uk/,102.0 FM,south-west,local_radio,/content/images/stations/Spire-FM.png,"rgb(248,248,249)",Proper Local Radio for Salisbury
Spirit FM,https://www.spiritfm.net/,96.6 - 102.3 - 106.6 FM,south-east,local_radio,/content/images/stations/spirit-fm.png,"rgb(7,70,149)", West Sussex No.1 Commercial Radio Station. Local Radio from West Sussex for West Sussex.
Star Radio,https://www.star.radio/,107.9 - 107.1 - 107.3 FM,east-of-england,local_radio,/content/images/stations/star-radio.png,"rgb(251,250,250)",Independent Local Radio station broadcasting on 107.9 MHz in Cambridge and 107.1 MHz in Ely
Stray FM,https://www.strayfm.com/,,yorkshire-and-the-humber,local_radio,/content/images/stations/stray-fm.png,"rgb(38,39,43)",Radio for Harrogate - Knaresborough - Ripon - Boroughbridge - Wetherby - Skipton - Ilkley - Otley - Craven and Wharfedale.
Suffolk First,https://www.suffolkfirst.co.uk/,,east-of-england,local_radio,/content/images/stations/suffolk-first.png,"rgb(250,251,251)",Suffolk First plays a wide breadth of Hits and Memories from the last five decades - with a heavy bias towards Country Music.
Sun FM,https://sun-fm.com/,103.4 FM,north-east,local_radio,/content/images/stations/sun-fm.png,"rgb(224,90,67)",Sun FM Radio is your Sunderland radio station - the home of great music and up to date news broadcasts.
Sunshine Radio,https://www.sunshineradio.co.uk/,105.9 FM,west-midlands,local_radio,/content/images/stations/sunshine-radio.png,"rgb(251,251,248)", British radio station which broadcasts to Herefordshire and Monmouthshire areas of the West Midlands and South Wales respectively from its studios in Hereford.
TFM,https://planetradio.co.uk/tfm/,96.6 FM,north-east,local_radio,/content/images/stations/tfm.png,"rgb(250,249,249)",Local radio station broadcasting to County Durham and North Yorkshire from studios in Newcastle upon Tyne.
Tower FM,https://www.towerfm.co.uk/,107.4 FM,north-west,local_radio,/content/images/stations/tower-fm.png,"rgb(250,250,250)",Tower FM for Bolton & Bury.
Town 102,https://www.town102.com/,,east-of-england,local_radio,/content/images/stations/town-102.png,"rgb(250,250,250)",Your easy place to relax on DAB Digital Radio
Viking FM,https://planetradio.co.uk/viking/,96.6 FM,yorkshire-and-the-humber,local_radio,/content/images/stations/viking-fm.png,"rgb(250,249,249)",British Independent Local Radio station serving the East Riding of Yorkshire and North & North East Lincolnshire.
Trax FM,https://www.traxfm.co.uk/,107.1 - 107.9 FM,yorkshire-and-the-humber,local_radio,/content/images/stations/trax-fm.png,"rgb(250,251,251)",Hear the difference across Doncaster and Bassetlaw.
Wave 105,https://planetradio.co.uk/wave-105/,105.2 FM,south-east,local_radio,/content/images/stations/wave-fm.png,"rgb(100,20,108)",The South's best variety of hits
Wessex FM,https://www.wessexfm.com/,96.0 FM,south-west,local_radio,/content/images/stations/wessex-fm.png,"rgb(248,248,247)",Welcome to Dorset's Wessex FM - Playing more of Dorset's Favourite Music
Wire FM,https://www.wirefm.com/,107.2 FM,north-west,local_radio,/content/images/stations/wire-fm.png,"rgb(250,250,250)",Wire FM for Warrington - Widnes & Runcorn.
Wish FM,https://www.wishfm.net/,102.4 FM,north-west,local_radio,/content/images/stations/wish-fm.png,"rgb(251,251,251)",Wish FM for Wigan & St Helens
Radio XL,http://radioxl.net/,,west-midlands,local_radio,/content/images/stations/radio-xl.png,"rgb(5,36,156)",Radio XL is the first 24-hour Asian radio station to broadcast to the West Midlands from Birmingham
Yorkshire Coast Radio,https://www.yorkshirecoastradio.com/,96.2 - 103.1 - 102.4 FM,yorkshire-and-the-humber,local_radio,/content/images/stations/yorkshire-coast-radio.png,"rgb(247,248,249)",Local news - weather - travel and features for Scarborough - Bridlington - Whitby and Filey from the local radio station for the Yorkshire Coast.
Bridge FM,https://bridgefmradio.wales/,106.3 FM,wales,local_radio,/content/images/stations/bridgefmradio.png,"rgb(250,249,250)",Bridge FM Radio is your local Bridgend County Borough radio station - the home of great music and up to date news broadcasts.
Dragon Radio,https://dragonradio.wales/,,wales,regional_station,/content/images/stations/dragon-radio.png,"rgb(251,251,251)",Dragon Radio is your national Welsh radio station - the home of great music and up to date news broadcasts.
Absolute 80s,https://planetradio.co.uk/absolute-80s/,,national,national_radio,/content/images/stations/absolute-80s.png,"rgb(148,44,156)",The UK's 80s radio station.
Absolute 90s,https://planetradio.co.uk/absolute-radio-90s/,,national,national_radio,/content/images/stations/absolute-90s.png,"rgb(148,44,156)",The UK's 90s radio station
Absolute 70s,https://planetradio.co.uk/absolute-radio-70s/,,national,national_radio,/content/images/stations/absolute-70s.png,"rgb(148,44,156)",The UK's 70s radio station
Absolute 60s,https://planetradio.co.uk/absolute-radio-60s/,,national,national_radio,/content/images/stations/absolute-60s.png,"rgb(148,44,156)",The UK's 60s radio station
Absolute 00s,https://planetradio.co.uk/absolute-radio-00s,,national,national_radio,/content/images/stations/absolute-00s.png,"rgb(148,44,156)",The UK's only 00s radio station.
Radio Wirral,https://www.radiowirral.co.uk/,,wales,local_radio,/content/images/stations/radio-wirral.png,"rgb(20,4,4)",Playing Wirral's best music!
